Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
Lotomoto,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKhthBvCKJBm,10%,,Aktif,,,,Tidak,
Luminetumblr77,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSbKblQUgfo,10%,,Aktif,,,,Tidak,
Lunavee,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJX9kBE9aeX4,10-11%,,Aktif,,,,Tidak,
Lunavee,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJgW2MZfDxxL,12%,,Aktif,,,,Tidak,
Madame Gie,Beauty & Health,Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AL1qiGVUXPcW,10%,,Updated,,,,Tidak,8 July 2026
Mincol Koge,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJybVvLgbBgA,10%,,Aktif,,,,Tidak,
Modofo Official Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMY0Lt4WM04,10%,,Aktif,,,,Tidak,
MS Glow,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL9FM5TLwzSP,11%,,Updated,,,,Tidak,7 July 2026
MS Glow,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJuFOjwwn1dV,11%,,Aktif,,,,Tidak,7 July 2026
MS Glow,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJuP7vgSHKgO,10%,,Aktif,,,,Tidak,7 July 2026
Naisday Parfume,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/ALAxCwOSsf8G,10-11%,,Updated,,,,Tidak,29 July 2026
Nivea,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJItXPUDRWNZ,10%,,Aktif,,,,Tidak,
Nivea,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJwugsMP9PKX,10%(2.0),,Aktif,,,,Tidak,
Npure,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK6Zk9aowSw3,10%,,Aktif,,,,Tidak,
PRETTYME,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKTIAiQL7iy9,10%,,Aktif,,,,Tidak,
